,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
0,0.0,Tue Jun 26 21:42:46 +0000 2018,0.0,1.0,0.0,@BBCWorld,RT @richard_conway: Reports emerging here in St Petersburg that Diego Maradona was taken to hospital after Argentina’s game tonight.,1
1,-0.128,Tue Jun 26 20:12:16 +0000 2018,0.2,0.8,0.0,@BBCWorld,France: Butchers demand protection from vegans https://t.co/h0krY6YrBV,2
2,-0.836,Tue Jun 26 20:09:38 +0000 2018,0.497,0.503,0.0,@BBCWorld,Canada tycoon's son Blake Leibel jailed for 'savage' murder https://t.co/g8k1ingzK9,3
3,0.0,Tue Jun 26 20:06:47 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: Hector Cuper has left his role as Egypt manager after they were knocked out of the #WorldCup 

Full story: https://t.co/nwr8l…",4
4,0.5574,Tue Jun 26 20:06:46 +0000 2018,0.194,0.323,0.484,@BBCWorld,NSA contractor Reality Winner admits leak https://t.co/uqiSN5PWqw,5
5,0.128,Tue Jun 26 19:53:51 +0000 2018,0.056,0.872,0.072,@BBCWorld,"RT @BBCSport: FT #NGA 1-2 #ARG 

14' ⚽ Lionel Messi
51' ⚽ Victor Moses
86' ⚽ Marcos Rojo

An unlikely hero for Argentina, but it doesn't ma…",6
6,0.6114,Tue Jun 26 19:53:16 +0000 2018,0.0,0.852,0.148,@BBCWorld,"RT @BBCSport: FT: #ISL 1-2 #CRO 

For the first time ever, Croatia have won three #WorldCup games in a row! 

Iceland bow out.

Reaction: h…",7
7,0.3129,Tue Jun 26 19:48:53 +0000 2018,0.0,0.906,0.094,@BBCWorld,"RT @BBCSport: GOAL! #NGA 1-2 #ARG

Marcos Rojo?! What a finish from the defender. Argentina are back in the driving seat!

Follow #NGAARG l…",8
8,0.4738,Tue Jun 26 19:48:49 +0000 2018,0.0,0.882,0.118,@BBCWorld,"RT @BBCSport: GOAL!

Looks like it'll be three out of three for Croatia!

Ivan Perisic drives a finish into the far corner.

#ISL 1-2 #CRO…",9
9,0.0,Tue Jun 26 19:40:34 +0000 2018,0.0,1.0,0.0,@BBCWorld,Migrant family separations: States sue Trump administration https://t.co/flWhRvUMb3,10
10,-0.555,Tue Jun 26 19:36:52 +0000 2018,0.159,0.841,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Now then...

Gylfi Sigurdsson fires a penalty into the roof of the net!

#ISL 1-1 #CRO 

Live: https://t.co/aeMK9g0ELv…",11
11,0.3578,Tue Jun 26 19:13:42 +0000 2018,0.0,0.879,0.121,@BBCWorld,"RT @BBCSport: GOAL!

Straight after rattling the crossbar, Milan Badelj drives in the opener! 

#ISL 0-1 #CRO 

Live: https://t.co/aeMK9g0E…",12
12,0.0,Tue Jun 26 19:03:23 +0000 2018,0.0,1.0,0.0,@BBCWorld,Indiana child fires handgun found in sofa at Ikea https://t.co/2WsnrEnVzS,13
13,0.7559,Tue Jun 26 18:53:10 +0000 2018,0.0,0.78,0.22,@BBCWorld,"RT @BBCSport: HT: #ISL 0-0 #CRO 

Croatia will be relieved to head into the break with it goalless after a very, very strong finish to the…",14
14,-0.802,Tue Jun 26 18:11:58 +0000 2018,0.507,0.493,0.0,@BBCWorld,US college quarterback 'had brain disorder' before suicide https://t.co/SczLaFmFL0,15
15,0.0,Tue Jun 26 17:38:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,Abiy Ahmed becomes Ethiopia's prime minister https://t.co/jNoIEHoKGK,16
16,-0.5574,Tue Jun 26 16:28:50 +0000 2018,0.348,0.536,0.116,@BBCWorld,Noura Hussein: Appeals court overturns death sentence https://t.co/RDLgFoYi8J,17
17,-0.4215,Tue Jun 26 16:02:33 +0000 2018,0.205,0.698,0.097,@BBCWorld,"No BBC Sports News Correspondents were harmed in the making of this film 😀

Follow the build-up to #NGAARG… https://t.co/bTg01yQpQS",18
18,0.5859,Tue Jun 26 15:54:27 +0000 2018,0.0,0.881,0.119,@BBCWorld,"RT @BBCSport: FT #AUS 0-2 #PER 

18' ⚽ Andre Carrillo
50' ⚽ Paolo Guerrero

Peru get their first win at the #WorldCup finals in 40 years. A…",19
19,0.0,Tue Jun 26 15:51:40 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: FT: #DEN 0-0 #FRA 

From start to finish, a very slow game - the first goalless draw of the #WorldCup 

Reaction: https://t.c…",20
20,-0.2263,Tue Jun 26 15:49:50 +0000 2018,0.192,0.808,0.0,@BBCWorld,Guernsey airline Waves cancels flights for two months https://t.co/J2GHDGepTK,21
21,0.4939,Tue Jun 26 15:41:08 +0000 2018,0.106,0.674,0.22,@BBCWorld,"RT @BBCSport: The rags to riches story of the man who saved a Cristiano Ronaldo penalty.

Iran goalkeeper Alireza Beiranvand has come a lon…",22
22,-0.0258,Tue Jun 26 15:32:13 +0000 2018,0.189,0.629,0.182,@BBCWorld,Teenager helps deaf and blind man to communicate on flight https://t.co/NK958WcHEj,23
23,0.0,Tue Jun 26 15:25:01 +0000 2018,0.0,1.0,0.0,@BBCWorld,Marree Man: The enduring mystery of a giant outback figure https://t.co/eHf0ujmQIu,24
24,0.0,Tue Jun 26 15:19:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,Ottawa Bluesfest preparations obstructed by nesting bird https://t.co/8WXtcXOyXx,25
25,-0.4404,Tue Jun 26 15:12:14 +0000 2018,0.281,0.576,0.144,@BBCWorld,Ethiopia offers Eritrea chance to end Africa's longest war https://t.co/jkEGxPSfmW,26
26,-0.4767,Tue Jun 26 15:03:43 +0000 2018,0.22,0.78,0.0,@BBCWorld,New Zealand man shot after 'flying to US to attack teenager' https://t.co/7GhI4ljjBk,27
27,0.0,Tue Jun 26 15:03:20 +0000 2018,0.0,1.0,0.0,@BBCWorld,"It's a big day at the World Cup and we've already had a goal

#AUSPER #DENFRA

https://t.co/Ledbaj9Ie4 https://t.co/yhVpPIEfY0",28
28,0.4926,Tue Jun 26 14:55:35 +0000 2018,0.0,0.738,0.262,@BBCWorld,"RT @BBCMonitoring: VAR! What is it good for? #WorldCup
https://t.co/bckchMpWxD",29
29,-0.5574,Tue Jun 26 14:50:28 +0000 2018,0.31,0.69,0.0,@BBCWorld,Trump travel ban: What does this ruling mean? https://t.co/My2sno3EC9,30
30,0.5719,Tue Jun 26 14:47:23 +0000 2018,0.0,0.866,0.134,@BBCWorld,"RT @BBCSport: HT #AUS 0-1 #PER 

18' ⚽ Andre Carrillo

A wonderful volley from the Peru winger is the difference at the halfway mark. Austr…",31
31,0.0,Tue Jun 26 14:41:59 +0000 2018,0.0,1.0,0.0,@BBCWorld,Eritrea and Ethiopia open first high-level talks in 20 years https://t.co/tFjP29Yfxo,32
32,-0.7845,Tue Jun 26 14:34:20 +0000 2018,0.398,0.498,0.104,@BBCWorld,"DR Congo's Kasai crisis: War crimes committed by both sides, UN says https://t.co/pNp6LaLcS0",33
33,0.0,Tue Jun 26 14:26:32 +0000 2018,0.273,0.455,0.273,@BBCWorld,US Supreme Court upholds Trump's travel ban https://t.co/gdKK9xrp5i,34
34,-0.2695,Tue Jun 26 14:24:13 +0000 2018,0.09,0.91,0.0,@BBCWorld,"RT @BBCSport: GOAL! #AUS 0-1 #PER

What a strike! Andre Carrillo scores Peru's first goal at a #WorldCup in 36 years.

Follow #AUSPER live…",35
35,0.6705,Tue Jun 26 14:06:48 +0000 2018,0.0,0.744,0.256,@BBCWorld,"""Most people don't talk about organ donations when they're alive, but thankfully Phil did talk about it.""  https://t.co/mkegh8J61p",36
36,-0.3612,Tue Jun 26 12:30:54 +0000 2018,0.293,0.526,0.18,@BBCWorld,Syria war: Government forces make gains in south-west https://t.co/P3RenLLxyw,37
37,-0.4939,Tue Jun 26 11:58:14 +0000 2018,0.262,0.738,0.0,@BBCWorld,'Stolen babies' case: Spanish doctor Vela goes on trial https://t.co/8gFZXKRnWk,38
38,-0.3182,Tue Jun 26 11:53:04 +0000 2018,0.187,0.813,0.0,@BBCWorld,Jane Subachus: Family makes desperate appeal for stem cell donor https://t.co/mlG6ZklUOQ,39
39,0.0,Tue Jun 26 11:31:09 +0000 2018,0.0,1.0,0.0,@BBCWorld,PSNI's Drew Harris appointed Garda commissioner https://t.co/2nEbR5ygac,40
40,-0.8555,Tue Jun 26 11:22:13 +0000 2018,0.42,0.58,0.0,@BBCWorld,Police in South Korea have arrested one of the owners of a notorious revenge porn site https://t.co/pHGMJCrmAp,41
41,0.0,Tue Jun 26 11:19:11 +0000 2018,0.0,1.0,0.0,@BBCWorld,Japan unveils Hello Kitty-themed bullet train https://t.co/mzvzrMvnlE,42
42,-0.7906,Tue Jun 26 11:16:27 +0000 2018,0.318,0.682,0.0,@BBCWorld,"Soldiers in Myanmar have been accused of raping Rohingya women 

This is one woman's story https://t.co/J4GvJOlzah https://t.co/xREMCmcuEe",43
43,-0.4767,Tue Jun 26 11:10:53 +0000 2018,0.154,0.846,0.0,@BBCWorld,"A video of a child apparently getting kidnapped has gone viral in India, leading people to attack strangers

(Cauti… https://t.co/StN0gEtSU5",44
44,0.0,Tue Jun 26 11:09:32 +0000 2018,0.0,1.0,0.0,@BBCWorld,Papua New Guinea polio outbreak declared https://t.co/oHDsuJ0gEF,45
45,0.5106,Tue Jun 26 10:45:04 +0000 2018,0.0,0.752,0.248,@BBCWorld,Europe migrants: New EU tussle over rescue ship off Malta https://t.co/Rqg1cDQyws,46
46,0.5719,Tue Jun 26 09:31:03 +0000 2018,0.0,0.778,0.222,@BBCWorld,Murray Lambden: Manx walker joins Archibald Knox and Bee Gees in rare honour https://t.co/ZRbVeYP92n,47
47,0.0,Tue Jun 26 09:01:41 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: Another day full of footballing greats! #WorldCup 

Watch, read and listen with @BBCSport and @5LiveSport: 

15:00 #AUS v #PE…",48
48,-0.2263,Tue Jun 26 08:42:56 +0000 2018,0.239,0.581,0.181,@BBCWorld,World Cup reporter Julia Guimaraes' fury at on-camera kiss attempt https://t.co/gFZP6zECQ1,49
49,-0.2023,Tue Jun 26 07:08:17 +0000 2018,0.212,0.625,0.163,@BBCWorld,Thai teenage football team trapped in cave may be 'still alive' https://t.co/4Vc0HNEsQL,50
50,0.2732,Tue Jun 26 06:25:12 +0000 2018,0.0,0.741,0.259,@BBCWorld,Philippine President Duterte calls God 'stupid' https://t.co/vwsXHXsWZs,51
51,-0.8709,Tue Jun 26 02:44:11 +0000 2018,0.559,0.441,0.0,@BBCWorld,Benazir Bhutto assassination: 'Most wanted' in murder resurfaces https://t.co/Oubzd8k6Bw,52
52,0.0,Tue Jun 26 02:39:34 +0000 2018,0.0,1.0,0.0,@BBCWorld,Cockatoo identified in 13th Century European book https://t.co/iVzaHOs2XY,53
53,-0.3182,Tue Jun 26 00:39:46 +0000 2018,0.223,0.777,0.0,@BBCWorld,Donald Trump criticises Harley-Davidson for decision over tariffs https://t.co/YP36CLnTYK,54
54,0.0,Tue Jun 26 00:32:09 +0000 2018,0.0,1.0,0.0,@BBCWorld,US astronaut Buzz Aldrin sues his two children for 'misuse of finances' https://t.co/7PFuXzyEDM,55
55,0.6908,Tue Jun 26 00:04:58 +0000 2018,0.0,0.637,0.363,@BBCWorld,Oscars awards body acts to boost diversity with 928 member invitations https://t.co/zQS2C4avCx,56
56,-0.3612,Mon Jun 25 23:41:22 +0000 2018,0.304,0.696,0.0,@BBCWorld,Billy Elliot 'gay propaganda' row exposes purge in Hungary https://t.co/1TkcbgzwNb,57
57,-0.0772,Mon Jun 25 23:38:52 +0000 2018,0.252,0.519,0.23,@BBCWorld,"Big winners, big losers: Kenya's addiction to gambling https://t.co/JCZWcdan7k",58
58,0.0,Mon Jun 25 21:56:48 +0000 2018,0.0,1.0,0.0,@BBCWorld,US border agents halt migrant family prosecutions https://t.co/3NFOVExVAT,59
59,0.7269,Mon Jun 25 21:51:27 +0000 2018,0.0,0.621,0.379,@BBCWorld,Is it fair for a politician to use Tinder to win votes? https://t.co/HJ75gGbGbQ,60
60,0.0,Mon Jun 25 21:29:35 +0000 2018,0.097,0.805,0.097,@BBCWorld,"RT @BBCSteveR: After Russia lost 3:0 to Uruguay, this was the reaction in the Samara fan zone. Camera: @mattgodtv Producer: @BBCWillVernon…",61
61,0.5106,Mon Jun 25 20:01:30 +0000 2018,0.0,0.677,0.323,@BBCWorld,Trump to Waters: 'Be careful what you wish for Max' https://t.co/XlyOeoiCGf,62
62,-0.204,Mon Jun 25 20:01:30 +0000 2018,0.262,0.586,0.152,@BBCWorld,"RT @BBCSport: FULL TIME: #IRN 1-1 #POR.

An absolutely remarkable game. Ansarifard's controversial late penalty cancels out Ricardo Quaresm…",63
63,0.0,Mon Jun 25 20:00:19 +0000 2018,0.0,1.0,0.0,@BBCWorld,An extraordinary denouement to Group B https://t.co/z9oTdgUMW0,64
64,0.6114,Mon Jun 25 19:56:35 +0000 2018,0.0,0.815,0.185,@BBCWorld,"RT @BBCSport: FT: #ESP 2-2 #MAR 

Dramatic finish! Iago Aspas' classy flick has sealed a point - and Spain's place at the top of Group B (f…",65
65,-0.7074,Mon Jun 25 19:53:36 +0000 2018,0.236,0.708,0.055,@BBCWorld,"RT @BBCSport: GOAL! Iran 1-1 Portugal. 

Ansarifard makes no mistake from the spot! Right in the top corner. No saving that!

🖥 @BBCOne
💻 h…",66
66,0.0,Mon Jun 25 19:51:22 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Iago Aspas initially had a cheeky flick ruled out for offside... but VAR has changed everything! 

#ESP 2-2 #MAR 

Liv…",67
67,0.0,Mon Jun 25 19:43:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Drama!

Youssef En-Nesyri nods Morocco into the lead!

#ESP 1-2 #MAR

Live: https://t.co/AXu6R7tBE7 #WorldCup #bbcworl…",68
68,-0.128,Mon Jun 25 19:37:54 +0000 2018,0.158,0.842,0.0,@BBCWorld,Argentina strike against austerity brings country to a halt https://t.co/WoGXdKTI9s,69
69,-0.555,Mon Jun 25 18:46:23 +0000 2018,0.135,0.865,0.0,@BBCWorld,"RT @BBCSport: GOAL! Iran 0-1 Portugal. 

A moment of magic just before the break! Outside of the right foot from outside the penalty area f…",70
70,-0.4588,Mon Jun 25 18:40:45 +0000 2018,0.273,0.727,0.0,@BBCWorld,Tourists banned from Malaysia mosque after provocative dance https://t.co/BLRqWwof3Z,71
71,0.0,Mon Jun 25 18:26:18 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

That didn't last long! 

Spain work their way through and Isco rifles into the roof of the net.

#ESP 1-1 #MAR 

📺 @BB…",72
72,0.0,Mon Jun 25 18:17:46 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Khalid Boutaib slots in the opener!

Grab the popcorn...

#ESP 0-1 #MAR 

📺 @BBCFOUR
📱 https://t.co/AXu6R7tBE7 

#Worl…",73
73,-0.6486,Mon Jun 25 18:05:28 +0000 2018,0.35,0.65,0.0,@BBCWorld,California scientist shot dead while camping with daughters https://t.co/bSSixkPYAu,74
74,-0.5994,Mon Jun 25 17:43:12 +0000 2018,0.17,0.83,0.0,@BBCWorld,"RT @BBCSport: The Egyptian FA says there's ""no problem"" between it and Mo Salah, amid reports their star player could be set to quit the na…",75
75,-0.4588,Mon Jun 25 17:35:02 +0000 2018,0.3,0.7,0.0,@BBCWorld,Venezuela vice-president Delcy Rodríguez banned from EU https://t.co/cYILX6Fz3d,76
76,-0.4585,Mon Jun 25 17:32:35 +0000 2018,0.231,0.769,0.0,@BBCWorld,World Cup 2018: The dos and don'ts of celebrating a goal https://t.co/2pqi4aYuOB,77
77,-0.3612,Mon Jun 25 17:02:14 +0000 2018,0.238,0.762,0.0,@BBCWorld,Chinese villagers give up coffins in funeral reform https://t.co/fuTawHJfAI,78
78,0.0,Mon Jun 25 16:57:11 +0000 2018,0.0,1.0,0.0,@BBCWorld,Pentagon: Two military bases to house migrants https://t.co/w9lmbULusb,79
79,0.0,Mon Jun 25 16:46:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,David Goldblatt: South Africa's chronicler of life under apartheid https://t.co/qq8ELyRbzd,80
80,-0.128,Mon Jun 25 16:30:22 +0000 2018,0.242,0.545,0.212,@BBCWorld,Laura Ingalls Wilder removed from book award over racist language https://t.co/1hz365U2mO,81
81,-0.7906,Mon Jun 25 16:17:51 +0000 2018,0.467,0.533,0.0,@BBCWorld,Zimbabwe Bulawayo blast: Two die after attack on Mnangagwa https://t.co/aXrJ3tNFdp,82
82,0.0,Mon Jun 25 16:14:37 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: And it's the last kick of the game!

FT: #KSA 2-1 #EGY 

Reaction: https://t.co/hQb3Q8e3rX #bbcworldcup #WorldCup #KSAEGY htt…",83
83,-0.4019,Mon Jun 25 16:04:22 +0000 2018,0.213,0.787,0.0,@BBCWorld,Iran fans try to disturb Portugal team before key match https://t.co/ngQPLsPUBl,84
84,0.7579,Mon Jun 25 15:55:38 +0000 2018,0.0,0.737,0.263,@BBCWorld,"RT @BBCSport: Full time: Uruguay 3-0 Russia. 

#URU top the group after an impressive display to beat the hosts. They will play the runner-…",85
85,0.2695,Mon Jun 25 15:52:37 +0000 2018,0.093,0.77,0.137,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 3-0 Russia. 

There's another! Edinson Cavani pounces on a loose ball after Diego Godin's header was saved. Tha…",86
86,-0.7351,Mon Jun 25 15:49:10 +0000 2018,0.437,0.563,0.0,@BBCWorld,Le Marais man jailed for sexually abusing four girls https://t.co/cqhIaNDu1C,87
87,0.0,Mon Jun 25 15:44:16 +0000 2018,0.0,1.0,0.0,@BBCWorld,Germany burkinis: Minister says garments should be allowed in schools https://t.co/jt8UrjKZYc,88
88,0.4939,Mon Jun 25 15:24:01 +0000 2018,0.0,0.738,0.262,@BBCWorld,Phillip Hancock: Rare foreign organ donor praised in China https://t.co/hcEzAhnUNL,89
89,-0.4404,Mon Jun 25 15:16:15 +0000 2018,0.244,0.756,0.0,@BBCWorld,Former Nato chief Javier Solana denied US visa waiver https://t.co/9sL4artMKx,90
90,0.0,Mon Jun 25 15:01:23 +0000 2018,0.0,1.0,0.0,@BBCWorld,Turkey country profile https://t.co/xoERzuQNDb,91
91,-0.1007,Mon Jun 25 14:54:34 +0000 2018,0.126,0.764,0.111,@BBCWorld,"RT @BBCSport: GOAL!

Another penalty for Saudi Arabia, and this time it's converted thanks to Salman Al-Faraj. 

#KSA 1-1 #EGY 

#KSAEGY li…",92
92,0.2714,Mon Jun 25 14:46:00 +0000 2018,0.111,0.738,0.151,@BBCWorld,"RT @BBCSport: What a moment!

Essam El-Hadary, on the day he becomes the oldest ever #WorldCup player, has pulled off a brilliant penalty s…",93
93,0.555,Mon Jun 25 14:31:49 +0000 2018,0.0,0.86,0.14,@BBCWorld,"RT @BBCSport: GOAL!

That's the Mo Salah we know!

He gives Egypt the lead with a clever chip.

#KSA 0-1 #EGY 

#KSAEGY live: https://t.co/…",94
94,0.1759,Mon Jun 25 14:26:37 +0000 2018,0.0,0.937,0.063,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 2-0 Russia. 

The corner is cleared as far as Diego Laxalt who fires it back in. It gets a big deflection and f…",95
95,-0.6588,Mon Jun 25 14:12:13 +0000 2018,0.197,0.803,0.0,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 1-0 Russia. 

Luis Suarez rifles home a low free-kick from just outside the penalty area to give his side the l…",96
96,0.7351,Mon Jun 25 14:07:45 +0000 2018,0.0,0.721,0.279,@BBCWorld,"RT @BBCSport: Pride is at stake...

Who's ending their #WorldCup campaign with a win?

#KSAEGY live: https://t.co/hQb3Q8e3rX #bbcworldcup h…",97
97,0.0,Mon Jun 25 14:07:38 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: Underway between #URU and #RUS. 
Follow live here ⬇
https://t.co/2sTrPAkX1Y
#bbcworldcup #worldcup #URU #RUS #URURUS https://…",98
98,-0.34,Mon Jun 25 13:19:00 +0000 2018,0.194,0.806,0.0,@BBCWorld,Rotterdam oil spill: Hundreds of birds hit after Dutch leak https://t.co/gWYfwfIquI,99
99,0.7579,Mon Jun 25 12:23:15 +0000 2018,0.0,0.764,0.236,@BBCWorld,"RT @BBCSteveR: We’re in Samara for Russia v Uruguay. After 2 wins out of 2, the Russians are hoping their #WorldCup  will be a launchpad to…",100
100,-0.4019,Tue Jun 26 22:17:01 +0000 2018,0.124,0.876,0.0,@CBSNews,Bank of America allegedly is neglecting basic upkeep of foreclosed homes in black and Latino neighborhoods in 37 ci… https://t.co/XG17Tjq3AU,1
101,-0.9169,Tue Jun 26 22:00:58 +0000 2018,0.446,0.554,0.0,@CBSNews,"The NYPD made an eighth arrest in the fatal stabbing of a Bronx teenager, who was brutally attacked outside a deli… https://t.co/JmCkzZCqOv",2
102,0.0,Tue Jun 26 21:45:30 +0000 2018,0.0,1.0,0.0,@CBSNews,"HHS official says 2,047 children who were separated from their families under  President Trump's ""zero-tolerance po… https://t.co/hGsLTac02S",3
103,0.0,Tue Jun 26 21:30:56 +0000 2018,0.149,0.702,0.149,@CBSNews,"In its decision to uphold the travel ban, the Supreme Court also repudiated a long-discredited ruling that stood un… https://t.co/lvMfXsnNQN",4
104,0.0,Tue Jun 26 21:15:44 +0000 2018,0.0,1.0,0.0,@CBSNews,"Authorities are responding to reports of a ""very large"" explosion near a hospital in Gatesville, Texas, local offic… https://t.co/8qmlgt7DO8",5
105,-0.296,Tue Jun 26 20:59:56 +0000 2018,0.099,0.901,0.0,@CBSNews,Man opens Reese's Peanut Butter Cup and finds no peanut butter inside -- a few weeks later he got another surprise… https://t.co/6OPw4mFeV5,6
106,0.0,Tue Jun 26 20:44:49 +0000 2018,0.0,1.0,0.0,@CBSNews,"Anonymous and provocative street artist Banksy appears to have left his mark on Paris, painting several new works t… https://t.co/5bfFDxHQM4",7
107,-0.4939,Tue Jun 26 20:41:56 +0000 2018,0.176,0.824,0.0,@CBSNews,"Possible explosion, partial collapse reported at hospital in Gatesville, Texas, according to CBS News affiliate… https://t.co/SruV9PapeM",8
108,0.0,Tue Jun 26 20:29:51 +0000 2018,0.0,1.0,0.0,@CBSNews,"Seventeen states, including Washington, New York and California, sued President Trump's administration in an effort… https://t.co/AZPmYQCYc4",9
109,-0.4767,Tue Jun 26 20:12:45 +0000 2018,0.154,0.846,0.0,@CBSNews,"David Lynch believes pro-Trump comments were taken out of context, says president is ""causing suffering and divisio… https://t.co/oK5mRVRKaz",10
110,0.5423,Tue Jun 26 20:03:08 +0000 2018,0.129,0.594,0.277,@CBSNews,"President Trump hands Medal of Honor to World War II veteran Lt. Garlin Conner's widow, who accepted it on his beha… https://t.co/v4Rz5kHvip",11
111,-0.1832,Tue Jun 26 19:54:38 +0000 2018,0.26,0.506,0.234,@CBSNews,"""Lieutenant Connor's courageous actions killed roughly 50 German soldiers, injured 100 more and saved so many Ameri… https://t.co/7YV6ADckiy",12
112,0.34,Tue Jun 26 19:44:04 +0000 2018,0.143,0.625,0.232,@CBSNews,"WATCH NOW: President Trump presents Medal of Honor posthumously to Army 1st Lt. Garlin Conner, a World War II veter… https://t.co/NRjWanaetP",13
113,0.0,Tue Jun 26 19:32:04 +0000 2018,0.0,1.0,0.0,@CBSNews,Restaurants bearing some version of the Red Hen name are trying to distance themselves from the decision by one bus… https://t.co/C2GoDwQWJo,14
114,0.0,Tue Jun 26 19:09:44 +0000 2018,0.0,1.0,0.0,@CBSNews,Flamingo that escaped a Kansas zoo in 2005 has been spotted in Texas https://t.co/kuFqGzK3gS https://t.co/jElF6uQ1CE,15
115,-0.6249,Tue Jun 26 18:35:31 +0000 2018,0.221,0.779,0.0,@CBSNews,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/P43waOVnS9",16
116,0.0,Tue Jun 26 18:14:38 +0000 2018,0.0,1.0,0.0,@CBSNews,"Buzz Aldrin sues two of his children, alleging misuse of his finances and slander https://t.co/LoBCP0fCDQ https://t.co/N7AyqMRHri",17
117,-0.5859,Tue Jun 26 17:54:32 +0000 2018,0.244,0.688,0.069,@CBSNews,Escort Alix Tichelman describes death of Google executive aboard his yacht https://t.co/xoWNOdPdLx https://t.co/7ecPHQEXad,18
118,-0.6249,Tue Jun 26 17:35:19 +0000 2018,0.221,0.779,0.0,@CBSNews,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/NQ75I4wrSs",19
119,0.7269,Tue Jun 26 17:33:39 +0000 2018,0.0,0.736,0.264,@CBSNews,"RT @CBSThisMorning: WATCH: Comedian @RealTracyMorgan reflects on his life and sends a heartfelt message to his 6-year-old self.

📺See more…",20
120,-0.6908,Tue Jun 26 17:14:50 +0000 2018,0.363,0.637,0.0,@CBSNews,"Heather Locklear arrested for allegedly battering police officer, emergency personnel https://t.co/zvSO2hWI7h https://t.co/5iNnZ3EsyH",21
121,-0.34,Tue Jun 26 17:05:38 +0000 2018,0.226,0.639,0.135,@CBSNews,"The Supreme Court's ruling ""shows the attacks from the media and the Democrat politicians are wrong, and they turne… https://t.co/jnfo7Co2Jg",22
122,0.5574,Tue Jun 26 17:04:09 +0000 2018,0.0,0.833,0.167,@CBSNews,"WATCH: President Trump attends lunch with congressional lawmakers, where he's expected to weigh in on the Supreme C… https://t.co/FuZbPX3dvG",23
123,0.0,Tue Jun 26 16:54:39 +0000 2018,0.0,1.0,0.0,@CBSNews,"Sean Spicer TV show, ""Sean Spicer's Common Ground,"" in the works https://t.co/bf0s9xNmWa https://t.co/iIo66KxQAX",24
124,0.0,Tue Jun 26 16:34:56 +0000 2018,0.0,1.0,0.0,@CBSNews,"Years ago, a royal helped a couple survive the Holocaust. Today, Prince William met with their descendants.… https://t.co/Zix2KKC3Cy",25
125,0.296,Tue Jun 26 16:14:42 +0000 2018,0.2,0.455,0.345,@CBSNews,"""Jurassic World"" star Chris Pratt surprises charity screening benefitting kids with cancer https://t.co/Q2QERry5TR https://t.co/1HNV3iwoCX",26
126,0.5574,Tue Jun 26 15:30:06 +0000 2018,0.0,0.825,0.175,@CBSNews,WATCH LIVE: The Council on American–Islamic Relations is holding a press conference to react to the Supreme Court's… https://t.co/7yQgYZNFEt,27
127,0.0,Tue Jun 26 15:23:25 +0000 2018,0.0,1.0,0.0,@CBSNews,WATCH: Vice President Mike Pence is meeting with the president of Brazil; the leaders are expected to discuss immig… https://t.co/fk5VSnM0jV,28
128,-0.6705,Tue Jun 26 14:59:35 +0000 2018,0.22,0.78,0.0,@CBSNews,Second shooting at California state park where dad was killed while camping with his young daughters… https://t.co/Xenquvq7S7,29
129,-0.4767,Tue Jun 26 14:52:03 +0000 2018,0.154,0.846,0.0,@CBSNews,"""We are disappointed to hear about today's ruling,"" says Harris Zafar, a spokesman for the Ahmadiyya Muslim Communi… https://t.co/YOdIeljqHe",30
